"","Date","Site.Name","COUNTY","meanLat","meanLng","Month","Year","PM2.5","Ozone"
"1",2018-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2018,35,NA
"2",2018-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,13,NA
"3",2018-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,24,NA
"4",2018-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,31,NA
"5",2018-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,20,32
"6",2018-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,22,NA
"7",2018-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,14,NA
"8",2018-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,2018,28,34
"9",2018-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,15,NA
"10",2018-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,24,NA
"11",2018-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2018,51,NA
"12",2018-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,15,NA
"13",2018-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,40,NA
"14",2018-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,37,NA
"15",2018-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,7,NA
"16",2018-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,38,31
"17",2018-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,25.5,NA
"18",2018-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,20,NA
"19",2018-01-02,"Linville Falls","Avery",35.972347,-81.933072,1,2018,12,NA
"20",2018-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2018,38.5,31
"21",2018-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,28,NA
