"Date","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Month","Year","Ozone","PM2.5"
2018-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,35
2018-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,13
2018-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,24
2018-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,31
2018-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,32,20
2018-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,22
2018-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,14
2018-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,2018,34,28
2018-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,15
2018-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,24
2018-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,51
2018-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,15
2018-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,40
2018-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,37
2018-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2018,NA,7
2018-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,38
2018-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,25.5
2018-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,20
2018-01-02,"Linville Falls","Avery",35.972347,-81.933072,1,2018,NA,12
2018-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2018,31,38.5
2018-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,28
2018-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,35
2018-01-03,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,44
2018-01-03,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,18
2018-01-03,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,68
2018-01-03,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,58
2018-01-03,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,21,59
2018-01-03,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,55
2018-01-03,"Leggett","Edgecombe",35.988278,-77.5843,1,2018,NA,23
2018-01-03,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,NA,60
2018-01-03,"Millbrook School","Wake",35.856111,-78.574167,1,2018,30,61
2018-01-03,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,NA,34
2018-01-03,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,NA,47
2018-01-04,"Bryson City","Swain",35.434767,-83.442133,1,2018,NA,28
2018-01-04,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,NA,19
2018-01-04,"Clemmons Middle","Forsyth",36.026,-80.342,1,2018,NA,42
2018-01-04,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,NA,40
2018-01-04,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,30,39
2018-01-04,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,NA,35
