"Date","DAILY_AQI_VALUE","Site.Name","AQS_PARAMETER_DESC","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-01-02,12,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-05,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-08,22,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-11,3,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-14,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-17,19,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-20,8,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-23,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-26,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-01-29,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-01,24,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-04,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-07,9,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-10,14,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-13,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-16,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-19,13,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-22,33,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-25,17,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-02-28,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-06,44,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-09,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-12,10,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-15,30,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-18,23,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-21,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-24,21,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-27,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-03-30,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-02,25,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-05,19,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-08,12,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-11,19,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-14,32,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-17,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-20,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-23,7,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-26,9,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-04-29,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-02,30,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-05,42,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-08,20,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-11,35,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-14,49,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-17,11,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-20,22,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-23,23,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-26,9,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-05-29,5,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-01,15,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-04,16,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-07,33,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-10,39,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-13,18,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-16,41,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-19,42,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-22,20,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-25,20,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-06-28,24,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-07-01,25,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-07-04,43,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-07-07,22,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-07-10,34,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-07-13,47,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
2018-07-16,31,"Linville Falls","PM 2.5","Avery",35.972347,-81.933072
