"plotID","trapID","collectDate","functionalGroup","dryMass","qaDryMass","subplotID","decimalLatitude","decimalLongitude","elevation","nlcdClass","plotType","geodeticDatum"
"NIWO_062","NIWO_062_050","2016-06-16","Seeds",0,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Other",0.27,"N",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-06-16","Woody material",0.12,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Seeds",0,"N",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-06-16","Needles",1.11,"Y",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-06-16","Leaves",0,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Leaves",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Seeds",0,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Twigs/branches",0.07,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Woody material",0.02,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Needles",0.54,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Twigs/branches",7.36,"Y",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Other",0.28,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Needles",20.96,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Woody material",1.56,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Other",0,"N",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Needles",3.56,"N",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-06-16","Leaves",0.19,"Y",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-06-16","Other",0.58,"N",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-06-16","Woody material",0.08,"Y",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_047","NIWO_047_197","2016-06-16","Flowers",0.01,"N",40,40.054657,-105.584399,3509.8,"grasslandHerbaceous","tower","WGS84"
"NIWO_057","NIWO_057_081","2016-06-16","Seeds",0.005,"N",31,40.047082,-105.585059,3382.5,"evergreenForest","tower","WGS84"
"NIWO_064","NIWO_064_103","2016-06-16","Flowers",0,"N",32,40.04737,-105.583997,3373.2,"evergreenForest","tower","WGS84"
"NIWO_058","NIWO_058_101","2016-06-16","Seeds",0.01,"N",32,40.048719,-105.587181,3446.4,"shrubScrub","tower","WGS84"
"NIWO_061","NIWO_061_169","2016-06-16","Needles",15.54,"Y",41,40.047615,-105.586103,3413.4,"evergreenForest","tower","WGS84"
"NIWO_062","NIWO_062_050","2016-06-16","Twigs/branches",0.04,"Y",31,40.05114,-105.585787,3477,"shrubScrub","tower","WGS84"
