"lakeid","lakename","year4","daynum","month","sampledate","depth","temperature_C","dissolvedOxygen","irradianceWater","irradianceDeck","comments"
"L","Paul Lake",1984,148,5,1984-05-27,0,14.5,9.5,1750,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,0.25,NA,NA,1550,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,0.5,NA,NA,1150,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,0.75,NA,NA,975,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,1,14.5,8.8,870,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,1.5,NA,NA,610,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,2,14.2,8.6,420,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,3,11,11.5,220,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,4,7,11.9,100,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,5,6.1,2.5,34,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,6,5.5,1.6,7.6,1620,NA
"L","Paul Lake",1984,148,5,1984-05-27,7,5,0.4,1.3,1610,NA
"L","Paul Lake",1984,148,5,1984-05-27,8,4.5,0.3,NA,NA,NA
"L","Paul Lake",1984,148,5,1984-05-27,9,4.5,0.3,NA,NA,NA
"L","Paul Lake",1984,148,5,1984-05-27,10,4.5,0.3,NA,NA,NA
"L","Paul Lake",1984,148,5,1984-05-27,11,4.5,0.3,NA,NA,NA
"L","Paul Lake",1984,148,5,1984-05-27,12,4.5,0.3,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,0,14.8,9.2,1630,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,0.25,NA,NA,1530,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,0.5,NA,NA,1250,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,0.75,NA,NA,1050,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,1,14.8,8.8,890,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,1.5,NA,NA,660,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,2,14.8,8.9,500,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,3,12.3,11.4,250,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,4,8.2,11.5,110,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,5,7,11,70,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,6,5.9,8.6,33,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,7,4.5,0.8,17.5,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,8,4,0.3,8.5,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,9,4,0.2,4.4,1540,NA
"R","Peter Lake",1984,149,5,1984-05-28,10,3.9,0.2,2.1,1650,NA
"R","Peter Lake",1984,149,5,1984-05-28,11,3.9,0.1,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,12,3.9,0.1,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,13,3.9,0.1,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,14,3.9,0.1,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,15,3.9,0.1,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,16,3.9,0.1,NA,NA,NA
"R","Peter Lake",1984,149,5,1984-05-28,17,3.9,0.1,NA,NA,NA
"L","Paul Lake",1984,155,6,1984-06-03,0,18.8,8,1100,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,0.25,NA,NA,950,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,0.5,18.8,7.7,810,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,0.75,NA,NA,650,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,1,18.7,7.2,535,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,1.5,18.3,7.8,370,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,2,17,8.7,235,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,2.5,15.2,9.9,177,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,3,13,10.9,123,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,3.5,10.8,11.2,94,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,4,9,11.4,67.5,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,5,6.7,4.4,18,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,6,5.8,0.7,3,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,7,5,0.7,0.3,1050,NA
"L","Paul Lake",1984,155,6,1984-06-03,8,4.8,0.6,NA,NA,NA
"L","Paul Lake",1984,155,6,1984-06-03,10,4.7,0.6,NA,NA,NA
"R","Peter Lake",1984,156,6,1984-06-04,0,18.8,9,275,275,NA
"R","Peter Lake",1984,156,6,1984-06-04,0.25,NA,NA,230,250,NA
"R","Peter Lake",1984,156,6,1984-06-04,0.5,18.8,8.9,175,220,NA
"R","Peter Lake",1984,156,6,1984-06-04,0.75,NA,NA,150,240,NA
"R","Peter Lake",1984,156,6,1984-06-04,1,18.8,8.8,114,205,NA
"R","Peter Lake",1984,156,6,1984-06-04,1.5,18.5,9.4,68,172,NA
"R","Peter Lake",1984,156,6,1984-06-04,2,18,10,53,187,NA
"R","Peter Lake",1984,156,6,1984-06-04,2.5,16,10.2,NA,NA,NA
"R","Peter Lake",1984,156,6,1984-06-04,3,14.7,11.8,17.5,107,NA
"R","Peter Lake",1984,156,6,1984-06-04,3.5,11.9,12.2,NA,NA,NA
"R","Peter Lake",1984,156,6,1984-06-04,4,10.1,12.2,8.7,103,NA
"R","Peter Lake",1984,156,6,1984-06-04,5,7.5,12.5,5.6,130,NA
"R","Peter Lake",1984,156,6,1984-06-04,6,6,10.5,2.8,149,NA
"R","Peter Lake",1984,156,6,1984-06-04,7,5,3.9,2.3,255,NA
"R","Peter Lake",1984,156,6,1984-06-04,8,4.4,0.8,NA,NA,NA
"R","Peter Lake",1984,156,6,1984-06-04,10,4,0.7,NA,NA,NA
"R","Peter Lake",1984,156,6,1984-06-04,12,4,0.7,NA,NA,NA
"R","Peter Lake",1984,156,6,1984-06-04,14,4,0.6,NA,NA,NA
"L","Paul Lake",1984,162,6,1984-06-10,0,19.6,8.5,1230,1160,NA
"L","Paul Lake",1984,162,6,1984-06-10,0.25,NA,NA,1070,1150,NA
"L","Paul Lake",1984,162,6,1984-06-10,0.5,19.6,8.1,865,1150,NA
"L","Paul Lake",1984,162,6,1984-06-10,0.75,NA,NA,695,1150,NA
"L","Paul Lake",1984,162,6,1984-06-10,1,19.6,8,530,1100,NA
"L","Paul Lake",1984,162,6,1984-06-10,1.5,19.4,7.8,320,1100,NA
"L","Paul Lake",1984,162,6,1984-06-10,2,19.2,7.7,210,1100,NA
"L","Paul Lake",1984,162,6,1984-06-10,2.5,16.8,9.3,140,1100,NA
"L","Paul Lake",1984,162,6,1984-06-10,3,14.4,10.6,98,1100,NA
"L","Paul Lake",1984,162,6,1984-06-10,3.5,12,11.4,70,1100,NA
"L","Paul Lake",1984,162,6,1984-06-10,4,10,11.4,46,1070,NA
"L","Paul Lake",1984,162,6,1984-06-10,5,7.3,6.5,16.8,1070,NA
"L","Paul Lake",1984,162,6,1984-06-10,6,6.2,0.9,3.2,1070,NA
"L","Paul Lake",1984,162,6,1984-06-10,7,5.2,0.8,0.3,1150,NA
"L","Paul Lake",1984,162,6,1984-06-10,8,4.9,0.7,NA,NA,NA
"L","Paul Lake",1984,162,6,1984-06-10,9,4.8,0.7,NA,NA,NA
"L","Paul Lake",1984,162,6,1984-06-10,10,4.8,0.7,NA,NA,NA
"R","Peter Lake",1984,163,6,1984-06-11,0,19.8,8.9,145,168,NA
"R","Peter Lake",1984,163,6,1984-06-11,0.25,NA,NA,90,168,NA
"R","Peter Lake",1984,163,6,1984-06-11,0.5,19.9,8.7,72,129,NA
"R","Peter Lake",1984,163,6,1984-06-11,0.75,NA,NA,52,199,NA
"R","Peter Lake",1984,163,6,1984-06-11,1,19.9,8.8,55,165,NA
"R","Peter Lake",1984,163,6,1984-06-11,1.5,20,9.1,65,227,NA
"R","Peter Lake",1984,163,6,1984-06-11,2,19.9,8.8,51,245,NA
