"lakename","year4","daynum","month","sampledate","depth","nutrient","concentration"
"Paul Lake",1991,140,5,1991-05-20,0,"tn_ug",538
"Paul Lake",1991,140,5,1991-05-20,0,"tp_ug",25
"Paul Lake",1991,140,5,1991-05-20,0.85,"tn_ug",285
"Paul Lake",1991,140,5,1991-05-20,0.85,"tp_ug",14
"Paul Lake",1991,140,5,1991-05-20,1.75,"tn_ug",399
"Paul Lake",1991,140,5,1991-05-20,1.75,"tp_ug",14
"Paul Lake",1991,140,5,1991-05-20,3,"tn_ug",453
"Paul Lake",1991,140,5,1991-05-20,3,"tp_ug",14
"Paul Lake",1991,140,5,1991-05-20,4,"tn_ug",363
"Paul Lake",1991,140,5,1991-05-20,4,"tp_ug",13
"Paul Lake",1991,140,5,1991-05-20,6,"tn_ug",583
"Paul Lake",1991,140,5,1991-05-20,6,"tp_ug",37
"Peter Lake",1991,140,5,1991-05-20,0,"tn_ug",352
"Peter Lake",1991,140,5,1991-05-20,0,"tp_ug",11
"Peter Lake",1991,140,5,1991-05-20,1,"tn_ug",356
"Peter Lake",1991,140,5,1991-05-20,1,"tp_ug",15
"Peter Lake",1991,140,5,1991-05-20,2.25,"tn_ug",364
"Peter Lake",1991,140,5,1991-05-20,2.25,"tp_ug",28
"Peter Lake",1991,140,5,1991-05-20,3.5,"tn_ug",582
"Peter Lake",1991,140,5,1991-05-20,3.5,"tp_ug",14
"Peter Lake",1991,140,5,1991-05-20,4.65,"tn_ug",335
"Peter Lake",1991,140,5,1991-05-20,4.65,"tp_ug",17
"Peter Lake",1991,140,5,1991-05-20,6.5,"tn_ug",352
"Peter Lake",1991,140,5,1991-05-20,6.5,"tp_ug",19
"Paul Lake",1991,147,5,1991-05-27,0,"tn_ug",483
"Paul Lake",1991,147,5,1991-05-27,0,"tp_ug",8
"Paul Lake",1991,147,5,1991-05-27,0,"nh34",18.981
"Paul Lake",1991,147,5,1991-05-27,0,"no23",10.299
"Paul Lake",1991,147,5,1991-05-27,0,"po4",8
"Paul Lake",1991,147,5,1991-05-27,0.65,"tn_ug",351
"Paul Lake",1991,147,5,1991-05-27,0.65,"tp_ug",8
"Paul Lake",1991,147,5,1991-05-27,0.65,"nh34",13.777
"Paul Lake",1991,147,5,1991-05-27,0.65,"no23",9.198
"Paul Lake",1991,147,5,1991-05-27,0.65,"po4",7
"Paul Lake",1991,147,5,1991-05-27,1.5,"tn_ug",337
"Paul Lake",1991,147,5,1991-05-27,1.5,"tp_ug",9
"Paul Lake",1991,147,5,1991-05-27,1.5,"no23",5.948
"Paul Lake",1991,147,5,1991-05-27,1.5,"po4",12
"Paul Lake",1991,147,5,1991-05-27,2.75,"tn_ug",327
"Paul Lake",1991,147,5,1991-05-27,2.75,"tp_ug",9
"Paul Lake",1991,147,5,1991-05-27,2.75,"nh34",11.328
"Paul Lake",1991,147,5,1991-05-27,2.75,"no23",7.545
"Paul Lake",1991,147,5,1991-05-27,2.75,"po4",8
"Paul Lake",1991,147,5,1991-05-27,4,"tn_ug",346
"Paul Lake",1991,147,5,1991-05-27,4,"tp_ug",13
"Paul Lake",1991,147,5,1991-05-27,4,"nh34",9.98
"Paul Lake",1991,147,5,1991-05-27,4,"no23",4.864
"Paul Lake",1991,147,5,1991-05-27,6,"tn_ug",687
"Paul Lake",1991,147,5,1991-05-27,6,"tp_ug",32
"Paul Lake",1991,147,5,1991-05-27,6,"nh34",13.807
"Paul Lake",1991,147,5,1991-05-27,6,"no23",9.952
"Paul Lake",1991,147,5,1991-05-27,8,"tn_ug",900
"Paul Lake",1991,147,5,1991-05-27,8,"tp_ug",45
"Paul Lake",1991,147,5,1991-05-27,8,"nh34",327.864
"Paul Lake",1991,147,5,1991-05-27,8,"no23",13.48
"Peter Lake",1991,148,5,1991-05-28,0,"tn_ug",342
"Peter Lake",1991,148,5,1991-05-28,0,"tp_ug",23
"Peter Lake",1991,148,5,1991-05-28,0,"nh34",18.096
"Peter Lake",1991,148,5,1991-05-28,0,"no23",6.276
"Peter Lake",1991,148,5,1991-05-28,0.85,"tn_ug",326
"Peter Lake",1991,148,5,1991-05-28,0.85,"tp_ug",13
"Peter Lake",1991,148,5,1991-05-28,0.85,"nh34",59.883
"Peter Lake",1991,148,5,1991-05-28,0.85,"no23",5.475
"Peter Lake",1991,148,5,1991-05-28,1.75,"tn_ug",573
"Peter Lake",1991,148,5,1991-05-28,1.75,"tp_ug",17
"Peter Lake",1991,148,5,1991-05-28,1.75,"nh34",23.475
"Peter Lake",1991,148,5,1991-05-28,1.75,"no23",9.473
"Peter Lake",1991,148,5,1991-05-28,3.25,"tn_ug",386
"Peter Lake",1991,148,5,1991-05-28,3.25,"tp_ug",11
"Peter Lake",1991,148,5,1991-05-28,3.25,"nh34",10.259
"Peter Lake",1991,148,5,1991-05-28,3.25,"no23",7.126
"Peter Lake",1991,148,5,1991-05-28,4.25,"tn_ug",400
"Peter Lake",1991,148,5,1991-05-28,4.25,"tp_ug",12
"Peter Lake",1991,148,5,1991-05-28,4.25,"nh34",14.728
"Peter Lake",1991,148,5,1991-05-28,4.25,"no23",7.125
"Peter Lake",1991,148,5,1991-05-28,6.5,"tn_ug",415
"Peter Lake",1991,148,5,1991-05-28,6.5,"tp_ug",16
"Peter Lake",1991,148,5,1991-05-28,6.5,"nh34",10.524
"Peter Lake",1991,148,5,1991-05-28,6.5,"no23",7.503
"Peter Lake",1991,148,5,1991-05-28,12,"tn_ug",660
"Peter Lake",1991,148,5,1991-05-28,12,"tp_ug",25
"Peter Lake",1991,148,5,1991-05-28,12,"nh34",176.581
"Peter Lake",1991,148,5,1991-05-28,12,"no23",9.924
"Paul Lake",1991,154,6,1991-06-03,0,"tn_ug",512
"Paul Lake",1991,154,6,1991-06-03,0,"tp_ug",17
"Paul Lake",1991,154,6,1991-06-03,0,"nh34",20.736
"Paul Lake",1991,154,6,1991-06-03,0,"no23",5.934
"Paul Lake",1991,154,6,1991-06-03,0,"po4",4
"Paul Lake",1991,154,6,1991-06-03,0.5,"tn_ug",584
"Paul Lake",1991,154,6,1991-06-03,0.5,"tp_ug",8
"Paul Lake",1991,154,6,1991-06-03,0.5,"nh34",22.427
"Paul Lake",1991,154,6,1991-06-03,0.5,"no23",4.837
"Paul Lake",1991,154,6,1991-06-03,0.5,"po4",7
"Paul Lake",1991,154,6,1991-06-03,1.25,"tn_ug",470
"Paul Lake",1991,154,6,1991-06-03,1.25,"tp_ug",17
"Paul Lake",1991,154,6,1991-06-03,1.25,"nh34",26.635
"Paul Lake",1991,154,6,1991-06-03,1.25,"no23",4.058
"Paul Lake",1991,154,6,1991-06-03,1.25,"po4",4
"Paul Lake",1991,154,6,1991-06-03,2.25,"tn_ug",587
"Paul Lake",1991,154,6,1991-06-03,2.25,"tp_ug",7
"Paul Lake",1991,154,6,1991-06-03,2.25,"nh34",28.013
"Paul Lake",1991,154,6,1991-06-03,2.25,"no23",6.782
"Paul Lake",1991,154,6,1991-06-03,2.25,"po4",7
"Paul Lake",1991,154,6,1991-06-03,3.4,"tn_ug",348
"Paul Lake",1991,154,6,1991-06-03,3.4,"tp_ug",5
"Paul Lake",1991,154,6,1991-06-03,3.4,"nh34",33.739
"Paul Lake",1991,154,6,1991-06-03,3.4,"no23",8.959
"Paul Lake",1991,154,6,1991-06-03,3.4,"po4",3
"Paul Lake",1991,154,6,1991-06-03,5.34,"tn_ug",468
"Paul Lake",1991,154,6,1991-06-03,5.34,"tp_ug",20
