"agency_cd","site_no","datetime","discharge.max","discharge.max.approval","discharge.min","discharge.min.approval","discharge.mean","discharge.mean.approval","gage.height.max","gage.height.max.approval","gage.height.min","gage.height.min.approval","gage.height.mean","gage.height.mean.approval"
"USGS",2085000,1927-10-01,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-02,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-03,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-04,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-05,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-06,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-07,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-08,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-09,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-10,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-11,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-12,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-13,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-14,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-15,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-16,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-17,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-18,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-19,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-20,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-21,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-22,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-23,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-24,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-25,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-26,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-27,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-28,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-29,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-30,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-10-31,NA,"",NA,"",39,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-01,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-02,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-03,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-04,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-05,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-06,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-07,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-08,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-09,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-10,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-11,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-12,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-13,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-14,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-15,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-16,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-17,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-18,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-19,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-20,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-21,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-22,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-23,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-24,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-25,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-26,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-27,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-28,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-29,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-11-30,NA,"",NA,"",15,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-01,NA,"",NA,"",18,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-02,NA,"",NA,"",182,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-03,NA,"",NA,"",572,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-04,NA,"",NA,"",641,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-05,NA,"",NA,"",249,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-06,NA,"",NA,"",221,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-07,NA,"",NA,"",249,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-08,NA,"",NA,"",353,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-09,NA,"",NA,"",291,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-10,NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-11,NA,"",NA,"",80,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-12,NA,"",NA,"",68,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-13,NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-14,NA,"",NA,"",51,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-15,NA,"",NA,"",69,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-16,NA,"",NA,"",559,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-17,NA,"",NA,"",320,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-18,NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-19,NA,"",NA,"",58,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-20,NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-21,NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-22,NA,"",NA,"",49,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-23,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-24,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-25,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-26,NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-27,NA,"",NA,"",43,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-28,NA,"",NA,"",41,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-29,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-30,NA,"",NA,"",86,"A",NA,"",NA,"",NA,""
"USGS",2085000,1927-12-31,NA,"",NA,"",158,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-01,NA,"",NA,"",74,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-02,NA,"",NA,"",61,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-03,NA,"",NA,"",56,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-04,NA,"",NA,"",54,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-05,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-06,NA,"",NA,"",47,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-07,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-08,NA,"",NA,"",41,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-09,NA,"",NA,"",44,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-10,NA,"",NA,"",57,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-11,NA,"",NA,"",48,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-12,NA,"",NA,"",40,"A",NA,"",NA,"",NA,""
"USGS",2085000,1928-01-13,NA,"",NA,"",37,"A",NA,"",NA,"",NA,""
