CAS Number,Chemical Name,Chemical Grade,Chemical Analysis Method,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Organism Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Author),Conc 1 (Author),Conc 1 Units (Author),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,99,Araecerus fasciculatus,Coffee Bean Weevil,Insects/Spiders,Adult,NR,Not reported,"Topical, general",No substrate,Lab,NR,Active ingredient,27.2,ug/g bdwt,Mortality,Mortality,LD50,Not reported,1,Day(s),"Childers,C.C., and H.N. Nigg",107388,Contact Toxicity of Insecticides to Adults of the Coffee Bean Weevil (Coleoptera: Anthribidae),J. Econ. Entomol.75(3): 556-559,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient 22.8 - 32.2 ug/g bdwt | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,99,Araecerus fasciculatus,Coffee Bean Weevil,Insects/Spiders,Adult,NR,Not reported,"Topical, general",No substrate,Lab,NR,Active ingredient,19.7,ug/g bdwt,Mortality,Mortality,LD50,Not reported,1,Day(s),"Childers,C.C., and H.N. Nigg",107388,Contact Toxicity of Insecticides to Adults of the Coffee Bean Weevil (Coleoptera: Anthribidae),J. Econ. Entomol.75(3): 556-559,1982,Purity: Ê NR - NR | Organism Age: Ê NR - NR Not reported | Conc 1 (Author): Ê Active ingredient 14.8 - 23.9 ug/g bdwt | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Young,NR,Hour(s),Food,Filter paper,Lab,11,Active ingredient,47,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hour(s) | Conc 1 (Author): Ê Active ingredient 26 - 75 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Young,NR,Hour(s),Food,Filter paper,Lab,11,Active ingredient,25,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hour(s) | Conc 1 (Author): Ê Active ingredient 19 - 33 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Young,NR,Hour(s),Food,Filter paper,Lab,11,Active ingredient,13,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hour(s) | Conc 1 (Author): Ê Active ingredient 9 - 19 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Adult,9,Day(s),Food,Filter paper,Lab,11,Active ingredient,268,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê NR - NR Day(s) | Conc 1 (Author): Ê Active ingredient 111 - 647 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Young,NR,Hour(s),Food,Filter paper,Lab,11,Active ingredient,170,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hour(s) | Conc 1 (Author): Ê Active ingredient 100 - 290 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Adult,9,Day(s),Food,Filter paper,Lab,11,Active ingredient,28,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê NR - NR Day(s) | Conc 1 (Author): Ê Active ingredient 17 - 44 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Adult,9,Day(s),Food,Filter paper,Lab,11,Active ingredient,48,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê NR - NR Day(s) | Conc 1 (Author): Ê Active ingredient 20 - 113 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
58842209,"Tetrahydro-2-(nitromethylene)-2H-1,3-thiazine","Technical grade, technical product, technical formulation",Unmeasured,95,Musca domestica,House Fly,Insects/Spiders,Young,NR,Hour(s),Food,Filter paper,Lab,11,Active ingredient,40,mg/L,Mortality,Mortality,LC50,Not reported,1,Day(s),"Johnston,A.M., J. Lohr, J. Moes, K.R. Solomon, and E.R. Zaborski",103312,Toxicity of Synergized and Unsynergized Nitromethylene Heterocycle Insecticide (SD 35651) to Susceptible and Resistant Strains of Musca domestica (Diptera: Muscidae),J. Econ. Entomol.79(6): 1439-1442,1986,Purity: Ê NR - NR | Organism Age: Ê 24 - 48 Hour(s) | Conc 1 (Author): Ê Active ingredient 21 - 71 mg/L | Duration (Days): Ê NR - NR NR | Conc 2 (Author): Ê NR (NR - NR) NR | Conc 3 (Author): Ê NR (NR - NR) NR
