"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018","AQS","370110002","1","2.9","ug/m3 LC","12","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/05/2018","AQS","370110002","1","3.7","ug/m3 LC","15","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/08/2018","AQS","370110002","1","5.3","ug/m3 LC","22","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/11/2018","AQS","370110002","1","0.8","ug/m3 LC","3","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/14/2018","AQS","370110002","1","2.5","ug/m3 LC","10","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/17/2018","AQS","370110002","1","4.5","ug/m3 LC","19","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/20/2018","AQS","370110002","1","1.8","ug/m3 LC","8","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/23/2018","AQS","370110002","1","2.5","ug/m3 LC","10","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/26/2018","AQS","370110002","1","4.2","ug/m3 LC","18","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"01/29/2018","AQS","370110002","1","1.7","ug/m3 LC","7","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/01/2018","AQS","370110002","1","5.7","ug/m3 LC","24","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/04/2018","AQS","370110002","1","1.2","ug/m3 LC","5","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/07/2018","AQS","370110002","1","2.2","ug/m3 LC","9","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
"02/10/2018","AQS","370110002","1","3.3","ug/m3 LC","14","Linville Falls","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","37","North Carolina","011","Avery","35.972347","-81.933072"
