uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,ovenStartDate,ovenEndDate,fieldSampleID,massSampleID,samplingProtocolVersion,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"7f065fec-bcb2-4af9-b742-8e520fab7f6e","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.TWI","NEON.DOC.001710vE","Twigs/branches",0.4000,"N",,"kstyers@battelleecology.org"
"88df210b-1445-4c3f-b19e-5dabd9305c6e","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.SDS","NEON.DOC.001710vE","Seeds",0.0050,"N",,"kstyers@battelleecology.org"
"7f3c549c-1dfa-43bf-a485-c7c2bcb31fd6","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.WDY","NEON.DOC.001710vE","Woody material",0.0400,"Y",,"kstyers@battelleecology.org"
"97806ab5-42d2-49c0-8463-db48cd5eab12","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.FLR","NEON.DOC.001710vE","Flowers",0.0050,"N",,"kstyers@battelleecology.org"
"9d7c89f5-85f8-47b6-b415-1ae208580e6f","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.WDY","NEON.DOC.001710vE","Woody material",0.0700,"N",,"kstyers@battelleecology.org"
"6ca7a3e8-4d9e-4062-91a0-845f23b5b925","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.NDL","NEON.DOC.001710vE","Needles",1.0000,"N",,"kstyers@battelleecology.org"
"a0f02718-2a8e-4f02-beaa-edac27ab1b74","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.OTH","NEON.DOC.001710vE","Other",0.2000,"N",,"kstyers@battelleecology.org"
"500eb7f8-1881-4a10-bd41-cce84f3b3c47","NIWO_061.basePlot.ltr","D13","NIWO","NIWO_061","NIWO_061_169","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO061169.20180802","NEON.LTR.NIWO061169.20180802.LVS","NEON.DOC.001710vE","Leaves",0.0050,"N",,"kstyers@battelleecology.org"
"aa0ce5fb-6c8f-42cb-a325-f8c6ab214cff","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO064103.20180802","NEON.LTR.NIWO064103.20180802.FLR","NEON.DOC.001710vE","Flowers",0.1900,"N",,"kstyers@battelleecology.org"
"a588a308-b670-4f07-8040-6980d6cfdb72","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2018-08-06","2018-07-05","2018-08-02","2018-08-02T21:00Z","2018-08-06T18:02Z","NEON.LTR.NIWO064103.20180802","NEON.LTR.NIWO064103.20180802.WDY","NEON.DOC.001710vE","Woody material",1.1800,"Y",,"kstyers@battelleecology.org"
