uid,namedLocation,domainID,siteID,plotID,trapID,weighDate,setDate,collectDate,ovenStartDate,ovenEndDate,fieldSampleID,massSampleID,samplingProtocolVersion,functionalGroup,dryMass,qaDryMass,remarks,measuredBy
"54b20cb9-2bff-4fee-9bf6-af224831fc79","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_139","2016-11-08","2015-09-29","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040139.20161103","NEON.LTR.NIWO040139.20161103.MXT","NEON.DOC.001710vE","Mixed",0.0000,"N",,"tdelpriore@neoninc.org"
"3ef9ec17-1088-4220-90aa-e8ec9455f833","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_139","2016-11-08","2015-09-29","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040139.20161103","NEON.LTR.NIWO040139.20161103.OTH","NEON.DOC.001710vE","Other",0.0000,"N",,"tdelpriore@neoninc.org"
"308244a4-2112-4574-a482-c2f11f20e3d2","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_139","2016-11-08","2015-09-29","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040139.20161103","NEON.LTR.NIWO040139.20161103.TWI","NEON.DOC.001710vE","Twigs/branches",14.7600,"N",,"tdelpriore@neoninc.org"
"ef049114-9f95-4366-a572-ff46326a1fc3","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_139","2016-11-08","2015-09-29","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040139.20161103","NEON.LTR.NIWO040139.20161103.LVS","NEON.DOC.001710vE","Leaves",0.0000,"N",,"tdelpriore@neoninc.org"
"668dbede-d39f-4e08-8279-db8610900939","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_205","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040205.20161103","NEON.LTR.NIWO040205.20161103.TWI","NEON.DOC.001710vE","Twigs/branches",3.3400,"Y",,"tdelpriore@neoninc.org"
"4c0d3000-0dd6-44dd-9f32-e9a0a5fbe921","NIWO_063.basePlot.ltr","D13","NIWO","NIWO_063","NIWO_063_062","2016-11-03","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO063062.20161103","NEON.LTR.NIWO063062.20161103.LVS","NEON.DOC.001710vE","Leaves",0.0200,"N",,"tdelpriore@neoninc.org"
"f00d5aa6-64e6-40b0-b9e5-d3a38f796759","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO064103.20161103","NEON.LTR.NIWO064103.20161103.LVS","NEON.DOC.001710vE","Leaves",0.0400,"N",,"tdelpriore@neoninc.org"
"34255acd-184b-4449-a78d-a97315459d15","NIWO_067.basePlot.ltr","D13","NIWO","NIWO_067","NIWO_067_017","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO067017.20161103","NEON.LTR.NIWO067017.20161103.WDY","NEON.DOC.001710vE","Woody material",0.1500,"N",,"tdelpriore@neoninc.org"
"9714dc28-e176-461a-b3d6-a67fb4614d0a","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","NIWO_051_045","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO051045.20161103","NEON.LTR.NIWO051045.20161103.LVS","NEON.DOC.001710vE","Leaves",0.0300,"N",,"tdelpriore@neoninc.org"
"36233022-6aea-47fe-a83c-69b8ca123f45","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_205","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040205.20161103","NEON.LTR.NIWO040205.20161103.OTH","NEON.DOC.001710vE","Other",0.5600,"Y",,"tdelpriore@neoninc.org"
"594db11c-ff7a-47a5-930e-717f1866b10b","NIWO_040.basePlot.ltr","D13","NIWO","NIWO_040","NIWO_040_205","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO040205.20161103","NEON.LTR.NIWO040205.20161103.NDL","NEON.DOC.001710vE","Needles",12.3500,"N",,"tdelpriore@neoninc.org"
"7a507059-d3c3-48ae-9f64-58413d176d26","NIWO_041.basePlot.ltr","D13","NIWO","NIWO_041","NIWO_041_059","2016-11-03","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO041059.20161103","NEON.LTR.NIWO041059.20161103.LVS","NEON.DOC.001710vE","Leaves",0.1500,"N",,"tdelpriore@neoninc.org"
"159d0c96-18bd-4fff-975b-cc005cd4be5d","NIWO_041.basePlot.ltr","D13","NIWO","NIWO_041","NIWO_041_059","2016-11-03","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO041059.20161103","NEON.LTR.NIWO041059.20161103.WDY","NEON.DOC.001710vE","Woody material",0.0000,"N",,"tdelpriore@neoninc.org"
"57005653-3568-457c-8bfe-2b6d6bb2391d","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","NIWO_051_045","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO051045.20161103","NEON.LTR.NIWO051045.20161103.SDS","NEON.DOC.001710vE","Seeds",0.0000,"N",,"tdelpriore@neoninc.org"
"f0c5d68b-590d-47f0-9d01-6b138d337316","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","NIWO_051_045","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO051045.20161103","NEON.LTR.NIWO051045.20161103.TWI","NEON.DOC.001710vE","Twigs/branches",0.0400,"N",,"tdelpriore@neoninc.org"
"e7b0fc91-1b9b-49b5-8869-5cc6cff66506","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","NIWO_051_045","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO051045.20161103","NEON.LTR.NIWO051045.20161103.OTH","NEON.DOC.001710vE","Other",0.1000,"N",,"tdelpriore@neoninc.org"
"dd823296-eb7b-4d2c-a480-3e786d348593","NIWO_051.basePlot.ltr","D13","NIWO","NIWO_051","NIWO_051_045","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO051045.20161103","NEON.LTR.NIWO051045.20161103.NDL","NEON.DOC.001710vE","Needles",1.8600,"N",,"tdelpriore@neoninc.org"
"f7c0f503-c967-48e3-aa91-c724dc355d9a","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","NIWO_058_101","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO058101.20161103","NEON.LTR.NIWO058101.20161103.NDL","NEON.DOC.001710vE","Needles",1.3800,"Y",,"tdelpriore@neoninc.org"
"8513404a-bc1c-4890-bde9-781c04428203","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","NIWO_058_101","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO058101.20161103","NEON.LTR.NIWO058101.20161103.LVS","NEON.DOC.001710vE","Leaves",0.0300,"N",,"tdelpriore@neoninc.org"
"ea8ddde8-3dce-4657-83a3-54fd668a7062","NIWO_058.basePlot.ltr","D13","NIWO","NIWO_058","NIWO_058_101","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO058101.20161103","NEON.LTR.NIWO058101.20161103.TWI","NEON.DOC.001710vE","Twigs/branches",0.0200,"N",,"tdelpriore@neoninc.org"
"d890e005-25ff-406b-9ef3-15d9dd96fbf8","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO064103.20161103","NEON.LTR.NIWO064103.20161103.OTH","NEON.DOC.001710vE","Other",0.1900,"N",,"tdelpriore@neoninc.org"
"d96b291c-36ca-49bd-a59d-c36aeb5759d9","NIWO_064.basePlot.ltr","D13","NIWO","NIWO_064","NIWO_064_103","2016-11-08","2016-10-07","2016-11-03","2016-11-03T22:30Z","2016-11-08T19:00Z","NEON.LTR.NIWO064103.20161103","NEON.LTR.NIWO064103.20161103.SDS","NEON.DOC.001710vE","Seeds",0.0400,"N",,"tdelpriore@neoninc.org"
