lakeid,lakename,year4,daynum,sampledate,depth,depth_id,tpc,tpn,DIC_mg,DIC_uM,air_pco2,water_pco2,doc,absorbance
L,Paul Lake,1984,155,6/3/84,0,1,NA,NA,1.45,120.8333333,NA,NA,NA,NA
L,Paul Lake,1984,155,6/3/84,1,2,NA,NA,1.82,151.6666667,NA,NA,NA,NA
L,Paul Lake,1984,155,6/3/84,2,3,NA,NA,1.51,125.8333333,NA,NA,NA,NA
L,Paul Lake,1984,155,6/3/84,3.5,4,NA,NA,1.47,122.5,NA,NA,NA,NA
L,Paul Lake,1984,155,6/3/84,5.5,5,NA,NA,2.69,224.1666667,NA,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,0,1,NA,NA,2.85,237.5,NA,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,1,2,NA,NA,2.84,236.6666667,NA,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,2,3,NA,NA,3.27,272.5,NA,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,3.5,4,NA,NA,2.98,248.3333333,NA,NA,NA,NA
R,Peter Lake,1984,156,6/4/84,7,5,NA,NA,7.26,605,NA,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,0.5,2,NA,NA,0.76,63.33333333,NA,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,1,3,NA,NA,0.82,68.33333333,NA,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,1.5,4,NA,NA,1.13,94.16666667,NA,NA,NA,NA
T,Tuesday Lake,1984,157,6/5/84,2.5,5,NA,NA,1.25,104.1666667,NA,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,0,1,NA,NA,1.47,122.5,NA,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,0.75,2,NA,NA,1.79,149.1666667,NA,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,1.5,3,NA,NA,1.47,122.5,NA,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,2.5,4,NA,NA,1.52,126.6666667,NA,NA,NA,NA
L,Paul Lake,1984,162,6/10/84,5,6,NA,NA,2.83,235.8333333,NA,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,0,1,NA,NA,3.05,254.1666667,NA,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,0.75,2,NA,NA,3.03,252.5,NA,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,1.5,3,NA,NA,2.9,241.6666667,NA,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,3.5,4,NA,NA,2.83,235.8333333,NA,NA,NA,NA
R,Peter Lake,1984,163,6/11/84,6.5,6,NA,NA,4.48,373.3333333,NA,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,0,1,NA,NA,1.39,115.8333333,NA,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,0.33,2,NA,NA,1.24,103.3333333,NA,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,0.75,3,NA,NA,1.55,129.1666667,NA,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,1.5,4,NA,NA,1.86,155,NA,NA,NA,NA
T,Tuesday Lake,1984,164,6/12/84,3,5,NA,NA,3.99,332.5,NA,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,0,1,NA,NA,1.25,104.1666667,NA,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,1,2,NA,NA,1.15,95.83333333,NA,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,2,3,NA,NA,1.16,96.66666667,NA,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,3,4,NA,NA,1.03,85.83333333,NA,NA,NA,NA
L,Paul Lake,1984,169,6/17/84,5.5,6,NA,NA,3.61,300.8333333,NA,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,0,1,NA,NA,3.03,252.5,NA,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,1,2,NA,NA,2.48,206.6666667,NA,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,2,3,NA,NA,2.97,247.5,NA,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,3.25,4,NA,NA,2.94,245,NA,NA,NA,NA
R,Peter Lake,1984,170,6/18/84,6,6,NA,NA,3.65,304.1666667,NA,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,0,1,NA,NA,1.45,120.8333333,NA,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,0.33,2,NA,NA,1,83.33333333,NA,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,0.75,3,NA,NA,0.75,62.5,NA,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,1.5,4,NA,NA,1.32,110,NA,NA,NA,NA
T,Tuesday Lake,1984,171,6/19/84,2.75,5,NA,NA,2.88,240,NA,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,0,1,NA,NA,1.88,156.6666667,NA,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,0.75,2,NA,NA,1.49,124.1666667,NA,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,1.5,3,NA,NA,1.37,114.1666667,NA,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,2.3,4,NA,NA,1.46,121.6666667,NA,NA,NA,NA
L,Paul Lake,1984,176,6/24/84,4.5,6,NA,NA,1.54,128.3333333,NA,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,0,1,NA,NA,2.63,219.1666667,NA,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,0.75,2,NA,NA,2.9,241.6666667,NA,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,1.5,3,NA,NA,2.81,234.1666667,NA,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,3.5,4,NA,NA,2.54,211.6666667,NA,NA,NA,NA
R,Peter Lake,1984,177,6/25/84,6.5,6,NA,NA,4.54,378.3333333,NA,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,0,1,NA,NA,1.03,85.83333333,NA,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,0.33,2,NA,NA,1.07,89.16666667,NA,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,0.75,3,NA,NA,1.24,103.3333333,NA,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,1.75,4,NA,NA,1.8,150,NA,NA,NA,NA
T,Tuesday Lake,1984,178,6/26/84,2.75,5,NA,NA,3.02,251.6666667,NA,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,0,1,NA,NA,1.02,85,NA,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,0.5,2,NA,NA,1.22,101.6666667,NA,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,1.25,3,NA,NA,1.19,99.16666667,NA,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,2.5,4,NA,NA,1.1,91.66666667,NA,NA,NA,NA
L,Paul Lake,1984,183,7/1/84,5.5,6,NA,NA,3.4,283.3333333,NA,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,0,1,NA,NA,2.66,221.6666667,NA,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,0.75,2,NA,NA,2.77,230.8333333,NA,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,2,3,NA,NA,2.68,223.3333333,NA,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,4,4,NA,NA,2.53,210.8333333,NA,NA,NA,NA
R,Peter Lake,1984,184,7/2/84,7,6,NA,NA,5.12,426.6666667,NA,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,0,1,NA,NA,1.32,110,NA,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,0.33,2,NA,NA,1.03,85.83333333,NA,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,0.75,3,NA,NA,1.11,92.5,NA,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,1.5,4,NA,NA,1.49,124.1666667,NA,NA,NA,NA
T,Tuesday Lake,1984,185,7/3/84,2.75,5,NA,NA,3.02,251.6666667,NA,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,0,1,NA,NA,1.58,131.6666667,NA,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,0.75,2,NA,NA,1.76,146.6666667,NA,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,1.75,3,NA,NA,1.27,105.8333333,NA,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,3,4,NA,NA,1.06,88.33333333,NA,NA,NA,NA
L,Paul Lake,1984,190,7/8/84,5.5,6,NA,NA,3.36,280,NA,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,0,1,NA,NA,2.83,235.8333333,NA,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,1,2,NA,NA,2.79,232.5,NA,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,2,3,NA,NA,2.63,219.1666667,NA,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,3.5,4,NA,NA,2.64,220,NA,NA,NA,NA
R,Peter Lake,1984,191,7/9/84,7,6,NA,NA,4.5,375,NA,NA,NA,NA
T,Tuesday Lake,1984,192,7/10/84,0,1,NA,NA,0.98,81.66666667,NA,NA,NA,NA
T,Tuesday Lake,1984,192,7/10/84,0.33,2,NA,NA,1.16,96.66666667,NA,NA,NA,NA
T,Tuesday Lake,1984,192,7/10/84,0.75,3,NA,NA,1.06,88.33333333,NA,NA,NA,NA
T,Tuesday Lake,1984,192,7/10/84,1.25,4,NA,NA,1.21,100.8333333,NA,NA,NA,NA
T,Tuesday Lake,1984,192,7/10/84,2.75,5,NA,NA,2.24,186.6666667,NA,NA,NA,NA
L,Paul Lake,1984,197,7/15/84,0,1,NA,NA,1.6,133.3333333,NA,NA,NA,NA
L,Paul Lake,1984,197,7/15/84,0.75,2,NA,NA,1.31,109.1666667,NA,NA,NA,NA
L,Paul Lake,1984,197,7/15/84,1.5,3,NA,NA,1.48,123.3333333,NA,NA,NA,NA
L,Paul Lake,1984,197,7/15/84,2.75,4,NA,NA,1.43,119.1666667,NA,NA,NA,NA
L,Paul Lake,1984,197,7/15/84,5.5,6,NA,NA,3.44,286.6666667,NA,NA,NA,NA
R,Peter Lake,1984,198,7/16/84,0,1,NA,NA,4.09,340.8333333,NA,NA,NA,NA
R,Peter Lake,1984,198,7/16/84,0.75,2,NA,NA,3.63,302.5,NA,NA,NA,NA
R,Peter Lake,1984,198,7/16/84,2,3,NA,NA,3.5,291.6666667,NA,NA,NA,NA
