lakeid,lakename,year4,daynum,sampledate,depth,temperature_C,dissolvedOxygen,irradianceWater,irradianceDeck,comments
L,Paul Lake,1984,148,5/27/84,0,14.5,9.5,1750,1620,NA
L,Paul Lake,1984,148,5/27/84,0.25,NA,NA,1550,1620,NA
L,Paul Lake,1984,148,5/27/84,0.5,NA,NA,1150,1620,NA
L,Paul Lake,1984,148,5/27/84,0.75,NA,NA,975,1620,NA
L,Paul Lake,1984,148,5/27/84,1,14.5,8.8,870,1620,NA
L,Paul Lake,1984,148,5/27/84,1.5,NA,NA,610,1620,NA
L,Paul Lake,1984,148,5/27/84,2,14.2,8.6,420,1620,NA
L,Paul Lake,1984,148,5/27/84,3,11,11.5,220,1620,NA
L,Paul Lake,1984,148,5/27/84,4,7,11.9,100,1620,NA
L,Paul Lake,1984,148,5/27/84,5,6.1,2.5,34,1620,NA
L,Paul Lake,1984,148,5/27/84,6,5.5,1.6,7.6,1620,NA
L,Paul Lake,1984,148,5/27/84,7,5,0.4,1.3,1610,NA
L,Paul Lake,1984,148,5/27/84,8,4.5,0.3,NA,NA,NA
L,Paul Lake,1984,148,5/27/84,9,4.5,0.3,NA,NA,NA
L,Paul Lake,1984,148,5/27/84,10,4.5,0.3,NA,NA,NA
L,Paul Lake,1984,148,5/27/84,11,4.5,0.3,NA,NA,NA
L,Paul Lake,1984,148,5/27/84,12,4.5,0.3,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,0,14.8,9.2,1630,1540,NA
R,Peter Lake,1984,149,5/28/84,0.25,NA,NA,1530,1540,NA
R,Peter Lake,1984,149,5/28/84,0.5,NA,NA,1250,1540,NA
R,Peter Lake,1984,149,5/28/84,0.75,NA,NA,1050,1540,NA
R,Peter Lake,1984,149,5/28/84,1,14.8,8.8,890,1540,NA
R,Peter Lake,1984,149,5/28/84,1.5,NA,NA,660,1540,NA
R,Peter Lake,1984,149,5/28/84,2,14.8,8.9,500,1540,NA
R,Peter Lake,1984,149,5/28/84,3,12.3,11.4,250,1540,NA
R,Peter Lake,1984,149,5/28/84,4,8.2,11.5,110,1540,NA
R,Peter Lake,1984,149,5/28/84,5,7,11,70,1540,NA
R,Peter Lake,1984,149,5/28/84,6,5.9,8.6,33,1540,NA
R,Peter Lake,1984,149,5/28/84,7,4.5,0.8,17.5,1540,NA
R,Peter Lake,1984,149,5/28/84,8,4,0.3,8.5,1540,NA
R,Peter Lake,1984,149,5/28/84,9,4,0.2,4.4,1540,NA
R,Peter Lake,1984,149,5/28/84,10,3.9,0.2,2.1,1650,NA
R,Peter Lake,1984,149,5/28/84,11,3.9,0.1,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,12,3.9,0.1,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,13,3.9,0.1,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,14,3.9,0.1,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,15,3.9,0.1,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,16,3.9,0.1,NA,NA,NA
R,Peter Lake,1984,149,5/28/84,17,3.9,0.1,NA,NA,NA
T,Tuesday Lake,1984,150,5/29/84,0,15,9.5,1850,1960,NA
T,Tuesday Lake,1984,150,5/29/84,0.25,NA,NA,1150,1960,NA
T,Tuesday Lake,1984,150,5/29/84,0.5,NA,NA,760,1960,NA
T,Tuesday Lake,1984,150,5/29/84,0.75,NA,NA,480,1960,NA
T,Tuesday Lake,1984,150,5/29/84,1,14.5,9.1,320,1960,NA
T,Tuesday Lake,1984,150,5/29/84,1.5,14,8.2,140,1960,NA
T,Tuesday Lake,1984,150,5/29/84,2,10.5,9.8,63,1960,NA
T,Tuesday Lake,1984,150,5/29/84,3,6.8,5.7,9.5,1960,NA
T,Tuesday Lake,1984,150,5/29/84,4,5.3,3,2,1960,NA
T,Tuesday Lake,1984,150,5/29/84,5,5,1.1,0.6,1960,NA
T,Tuesday Lake,1984,150,5/29/84,6,4.5,0.5,0.1,2100,NA
T,Tuesday Lake,1984,150,5/29/84,7,4,0.2,NA,NA,NA
T,Tuesday Lake,1984,150,5/29/84,8,4,0.2,NA,NA,NA
T,Tuesday Lake,1984,150,5/29/84,9,3.9,0.1,NA,NA,NA
