lakeid,lakename,year4,daynum,sampledate,depth_id,depth,tn_ug,tp_ug,nh34,no23,po4,comments
L,Paul Lake,1991,140,5/20/91,1,0,538,25,NA,NA,NA,
L,Paul Lake,1991,140,5/20/91,2,0.85,285,14,NA,NA,NA,
L,Paul Lake,1991,140,5/20/91,3,1.75,399,14,NA,NA,NA,
L,Paul Lake,1991,140,5/20/91,4,3,453,14,NA,NA,NA,
L,Paul Lake,1991,140,5/20/91,5,4,363,13,NA,NA,NA,
L,Paul Lake,1991,140,5/20/91,6,6,583,37,NA,NA,NA,
R,Peter Lake,1991,140,5/20/91,1,0,352,11,NA,NA,NA,
R,Peter Lake,1991,140,5/20/91,2,1,356,15,NA,NA,NA,
R,Peter Lake,1991,140,5/20/91,3,2.25,364,28,NA,NA,NA,
R,Peter Lake,1991,140,5/20/91,4,3.5,582,14,NA,NA,NA,
R,Peter Lake,1991,140,5/20/91,5,4.65,335,17,NA,NA,NA,
R,Peter Lake,1991,140,5/20/91,6,6.5,352,19,NA,NA,NA,
E,East Long Lake,1991,142,5/22/91,1,0,375,15,NA,NA,NA,
E,East Long Lake,1991,142,5/22/91,2,0.4,479,12,NA,NA,NA,
E,East Long Lake,1991,142,5/22/91,3,0.75,419,14,NA,NA,NA,
E,East Long Lake,1991,142,5/22/91,4,1.2,497,16,NA,NA,NA,
E,East Long Lake,1991,142,5/22/91,5,2,434,12,NA,NA,NA,
E,East Long Lake,1991,142,5/22/91,6,3.75,394,12,NA,NA,NA,
W,West Long Lake,1991,142,5/22/91,1,0,471,12,NA,NA,NA,
W,West Long Lake,1991,142,5/22/91,2,0.4,489,21,NA,NA,NA,
W,West Long Lake,1991,142,5/22/91,3,0.75,466,14,NA,NA,NA,
W,West Long Lake,1991,142,5/22/91,4,1.5,420,12,NA,NA,NA,
W,West Long Lake,1991,142,5/22/91,5,2.25,404,13,NA,NA,NA,
W,West Long Lake,1991,142,5/22/91,6,4,479,16,NA,NA,NA,
L,Paul Lake,1991,147,5/27/91,1,0,483,8,18.981,10.299,8,
L,Paul Lake,1991,147,5/27/91,2,0.65,351,8,13.777,9.198,7,
L,Paul Lake,1991,147,5/27/91,3,1.5,337,9,NA,5.948,12,
L,Paul Lake,1991,147,5/27/91,4,2.75,327,9,11.328,7.545,8,
L,Paul Lake,1991,147,5/27/91,5,4,346,13,9.98,4.864,NA,
L,Paul Lake,1991,147,5/27/91,6,6,687,32,13.807,9.952,NA,
L,Paul Lake,1991,147,5/27/91,7,8,900,45,327.864,13.48,NA,
R,Peter Lake,1991,148,5/28/91,1,0,342,23,18.096,6.276,NA,
R,Peter Lake,1991,148,5/28/91,2,0.85,326,13,59.883,5.475,NA,
R,Peter Lake,1991,148,5/28/91,3,1.75,573,17,23.475,9.473,NA,
R,Peter Lake,1991,148,5/28/91,4,3.25,386,11,10.259,7.126,NA,
R,Peter Lake,1991,148,5/28/91,5,4.25,400,12,14.728,7.125,NA,
R,Peter Lake,1991,148,5/28/91,6,6.5,415,16,10.524,7.503,NA,
R,Peter Lake,1991,148,5/28/91,7,12,660,25,176.581,9.924,NA,
E,East Long Lake,1991,149,5/29/91,1,0,684,15,13.427,5.481,NA,
E,East Long Lake,1991,149,5/29/91,2,0.5,557,11,12.877,6.326,NA,
E,East Long Lake,1991,149,5/29/91,3,1,538,11,11.121,5.529,NA,
E,East Long Lake,1991,149,5/29/91,4,1.65,553,13,33.048,4.824,NA,
E,East Long Lake,1991,149,5/29/91,5,1.9,693,12,10.588,4.821,NA,
E,East Long Lake,1991,149,5/29/91,6,3.25,474,15,10.191,4.683,NA,
E,East Long Lake,1991,149,5/29/91,7,12,943,42,272.919,12.55,NA,
W,West Long Lake,1991,150,5/30/91,1,0,512,10,38.543,6.284,NA,
W,West Long Lake,1991,150,5/30/91,2,0.33,539,18,39.331,6.614,NA,
W,West Long Lake,1991,150,5/30/91,3,0.87,529,11,13.59,6.805,13,
W,West Long Lake,1991,150,5/30/91,4,1.6,481,15,14.137,8.313,8,
W,West Long Lake,1991,150,5/30/91,5,2.2,610,12,31.251,6.665,8,
W,West Long Lake,1991,150,5/30/91,6,3.6,506,11,10.255,3.981,8,
W,West Long Lake,1991,150,5/30/91,7,12,637,26,87.612,7.985,16,
T,Tuesday Lake,1991,151,5/31/91,1,0.5,501,25,NA,NA,NA,
T,Tuesday Lake,1991,151,5/31/91,7,12,380,54,NA,NA,NA,
L,Paul Lake,1991,154,6/3/91,1,0,512,17,20.736,5.934,4,
L,Paul Lake,1991,154,6/3/91,2,0.5,584,8,22.427,4.837,7,
L,Paul Lake,1991,154,6/3/91,3,1.25,470,17,26.635,4.058,4,
L,Paul Lake,1991,154,6/3/91,4,2.25,587,7,28.013,6.782,7,
L,Paul Lake,1991,154,6/3/91,5,3.4,348,5,33.739,8.959,3,
L,Paul Lake,1991,154,6/3/91,6,5.34,468,20,35.662,6.965,3,
L,Paul Lake,1991,154,6/3/91,7,8,1107,32,375.547,11.143,14,
R,Peter Lake,1991,155,6/4/91,1,0,573,5,21.533,3.818,4,
R,Peter Lake,1991,155,6/4/91,2,0.9,436,6,26.292,2.938,7,
R,Peter Lake,1991,155,6/4/91,3,1.75,394,7,NA,3.037,5,
R,Peter Lake,1991,155,6/4/91,4,3.2,342,6,NA,2.225,6,
R,Peter Lake,1991,155,6/4/91,5,4.25,324,5,NA,5.554,6,
R,Peter Lake,1991,155,6/4/91,6,6.75,439,16,NA,2.355,7,
R,Peter Lake,1991,155,6/4/91,7,12,590,19,NA,3.065,8,
E,East Long Lake,1991,156,6/5/91,1,0,579,10,NA,3.571,3,
E,East Long Lake,1991,156,6/5/91,2,0.35,599,11,NA,2.891,5,
E,East Long Lake,1991,156,6/5/91,3,0.6,528,12,25.488,3.869,8,
E,East Long Lake,1991,156,6/5/91,4,1,530,11,26.268,2.276,5,
E,East Long Lake,1991,156,6/5/91,5,1.4,540,9,22.919,3.221,6,
E,East Long Lake,1991,156,6/5/91,6,2.5,497,9,25.393,2.541,7,
E,East Long Lake,1991,156,6/5/91,7,12,959,42,405.221,3.89,33,
W,West Long Lake,1991,157,6/6/91,1,0,490,4,26.585,2.465,4,
W,West Long Lake,1991,157,6/6/91,2,0.37,418,5,19.338,2.499,4,
W,West Long Lake,1991,157,6/6/91,3,0.87,472,7,18.911,1.914,6,
W,West Long Lake,1991,157,6/6/91,4,1.4,425,6,29.059,2.387,6,
W,West Long Lake,1991,157,6/6/91,5,2,402,8,21.036,2.45,3,
W,West Long Lake,1991,157,6/6/91,6,3.4,498,10,22.511,2.852,5,
W,West Long Lake,1991,157,6/6/91,7,12,574,26,403.6,2.613,18,
T,Tuesday Lake,1991,158,6/7/91,1,0.667,465,13,18.648,7.724,7,
T,Tuesday Lake,1991,158,6/7/91,7,12,761,26,239.892,17.076,6,
L,Paul Lake,1991,161,6/10/91,1,0,421,11,20.303,11.381,6,
L,Paul Lake,1991,161,6/10/91,2,0.55,352,14,19.789,10.959,4,
L,Paul Lake,1991,161,6/10/91,3,1.3,407,11,16.359,10.925,5,
L,Paul Lake,1991,161,6/10/91,4,2.25,299,9,16.193,8.341,1,
L,Paul Lake,1991,161,6/10/91,5,3.4,334,11,15.556,7.687,1,
L,Paul Lake,1991,161,6/10/91,6,5.7,434,21,16.481,9.866,4,
L,Paul Lake,1991,161,6/10/91,7,8,1271,45,623.114,10.82,12,
R,Peter Lake,1991,162,6/11/91,1,0,296,9,14.579,6.827,4,
R,Peter Lake,1991,162,6/11/91,2,1.25,291,9,25.548,6.995,9,
R,Peter Lake,1991,162,6/11/91,3,2.6,308,8,17.633,6.347,5,
R,Peter Lake,1991,162,6/11/91,4,4.1,324,12,23.58,7.371,8,
R,Peter Lake,1991,162,6/11/91,5,5.4,374,16,15.643,6.561,8,
R,Peter Lake,1991,162,6/11/91,6,7.8,376,19,20.372,7.1,11,
R,Peter Lake,1991,162,6/11/91,7,12,676,31,289.687,4.444,18,
E,East Long Lake,1991,163,6/12/91,1,0,470,16,21.366,9.308,15,
E,East Long Lake,1991,163,6/12/91,2,0.25,491,18,21.444,8.912,12,
E,East Long Lake,1991,163,6/12/91,3,0.6,532,19,23.231,10.419,14,
E,East Long Lake,1991,163,6/12/91,4,1,490,17,21.294,8.049,11,
E,East Long Lake,1991,163,6/12/91,5,1.45,491,16,22.717,7.617,9,
E,East Long Lake,1991,163,6/12/91,6,2.5,437,17,22.559,8.372,11,
E,East Long Lake,1991,163,6/12/91,7,12,736,NA,351.769,7.833,37,
W,West Long Lake,1991,164,6/13/91,1,0,497,20,24.333,6.376,6,
W,West Long Lake,1991,164,6/13/91,2,0.4,418,14,53.859,9.775,17,
W,West Long Lake,1991,164,6/13/91,3,0.75,462,10,45.745,9.02,14,
W,West Long Lake,1991,164,6/13/91,4,1.45,473,10,18.963,7.023,4,
W,West Long Lake,1991,164,6/13/91,5,2,476,17,20.821,6.861,8,
W,West Long Lake,1991,164,6/13/91,6,3.4,415,14,20.979,7.671,7,
W,West Long Lake,1991,164,6/13/91,7,12,559,35,125.269,6.753,19,
T,Tuesday Lake,1991,165,6/14/91,1,0.383,491,13,6.763,4.792,9,
T,Tuesday Lake,1991,165,6/14/91,7,12,807,27,163.619,4.855,6,
L,Paul Lake,1991,168,6/17/91,1,0,474,8,6.441,2.375,5,
L,Paul Lake,1991,168,6/17/91,2,0.65,377,10,6.702,2.382,1,
L,Paul Lake,1991,168,6/17/91,3,1.3,411,12,8.1,2.379,2,
L,Paul Lake,1991,168,6/17/91,4,2.4,347,12,5.846,2.727,1,
L,Paul Lake,1991,168,6/17/91,5,3.25,359,12,8.68,3.221,5,
L,Paul Lake,1991,168,6/17/91,6,5.4,446,20,9.153,1.78,0,
L,Paul Lake,1991,168,6/17/91,7,8,1164,39,293.794,3.573,3,
R,Peter Lake,1991,169,6/18/91,1,0,321,8,5.749,2.429,4,
R,Peter Lake,1991,169,6/18/91,2,1,286,10,5.389,1.578,5,
R,Peter Lake,1991,169,6/18/91,3,2,295,15,5.143,1.432,5,
R,Peter Lake,1991,169,6/18/91,4,3.8,274,7,4.83,1.285,1,
R,Peter Lake,1991,169,6/18/91,5,5.2,269,15,5.548,1.679,2,
R,Peter Lake,1991,169,6/18/91,6,7.6,359,19,4.91,1.784,6,
R,Peter Lake,1991,169,6/18/91,7,12,626,33,147.204,1.981,4,
E,East Long Lake,1991,170,6/19/91,1,0,480,19,7.02,2.877,4,
E,East Long Lake,1991,170,6/19/91,2,0.3,503,18,5.818,2.479,0,
E,East Long Lake,1991,170,6/19/91,3,0.65,480,18,6.232,2.475,7,
E,East Long Lake,1991,170,6/19/91,4,1.1,430,17,6.63,2.773,3,
E,East Long Lake,1991,170,6/19/91,5,1.45,448,18,6.266,1.972,NA,
E,East Long Lake,1991,170,6/19/91,6,2.6,393,17,6.092,1.323,3,
E,East Long Lake,1991,170,6/19/91,7,12,919,71,228.23,2.521,1,
W,West Long Lake,1991,171,6/20/91,1,0,454,16,5.4,1.817,3,
W,West Long Lake,1991,171,6/20/91,2,0.35,403,15,5.874,1.666,3,
W,West Long Lake,1991,171,6/20/91,3,0.75,474,19,4.756,2.421,0,
W,West Long Lake,1991,171,6/20/91,4,1.4,423,15,7.895,2.513,3,
W,West Long Lake,1991,171,6/20/91,5,1.9,424,15,4.901,1.721,3,
W,West Long Lake,1991,171,6/20/91,6,3.5,386,13,5.597,2.521,1,
W,West Long Lake,1991,171,6/20/91,7,12,534,36,70.652,3.167,3,
T,Tuesday Lake,1991,172,6/21/91,1,0.383,450,15,15.777,3.657,5,
T,Tuesday Lake,1991,172,6/21/91,7,12,802,27,320.618,4.133,9,
L,Paul Lake,1991,175,6/24/91,1,0,400,9,19.559,1.55,4,
L,Paul Lake,1991,175,6/24/91,2,0.8,495,10,10.671,1.785,3,
L,Paul Lake,1991,175,6/24/91,3,1.5,437,11,7.505,1.662,3,
L,Paul Lake,1991,175,6/24/91,4,2.6,368,11,8.203,1.021,3,
L,Paul Lake,1991,175,6/24/91,5,3.6,346,12,10.322,1.542,2,
