site_no,station_nm,date,gage_ht
06453600,"Ponca Creek at Verdel, Nebr.",2019-03-20 14:15:00,12.58
06453620,"Missouri River blw Ponca Creek nr Verdel, Nebr.",2019-03-20 14:15:00,19.96
06461500,"Niobrara River near Sparks, Nebr.",2019-03-20 14:15:00,3.61
06461500,"Niobrara River near Sparks, Nebr.",2019-03-20 14:15:00,3.63
06463500,"Long Pine Creek near Riverview, Nebr.",2019-03-13 23:45:00,11.38
06463720,"Niobrara River at Mariaville, Nebr.",2019-03-20 14:45:00,3.75
06465500,"Niobrara River near Verdel, Nebr.",2019-03-14 10:15:00,17.42
06465500,"Niobrara River near Verdel, Nebr.",2019-03-14 10:15:00,16.31
06465700,"Verdigre Creek near Verdigre, Nebr.",2019-03-20 13:30:00,4.04
06466000,"Niobrara River at Niobrara, Nebr.",2019-03-14 11:45:00,36.15
06466000,"Niobrara River at Niobrara, Nebr.",2019-03-20 14:15:00,34.49
06466010,"Missouri River at Niobrara, Nebr.",2019-03-13 22:15:00,23.18
06466470,"Howe Creek below Walker Draw near Center, Nebr.",2019-03-20 14:15:00,3.02
06466500,"Bazile Creek near Niobrara, Nebr.",2019-03-20 14:00:00,2.82
06467500,"MISSOURI R AT YANKTON,SD",2019-03-20 14:30:00,11.08
06478522,"Bow Creek near Wynot, Nebr.",2019-03-20 14:30:00,3.67
06478523,"MISSOURI RIVER NR ST. JAMES, NE",2019-03-20 14:30:00,34.75
06486000,"Missouri River at Sioux City, IA",2019-03-20 14:45:00,23.27
06600900,"South Omaha Creek at Walthill, Nebr.",2019-03-20 14:00:00,6.99
06601000,"Omaha Creek at Homer, Nebr.",2019-03-20 14:45:00,3.75
06601000,"Omaha Creek at Homer, Nebr.",2019-03-20 14:45:00,1.34
06601200,"Missouri River at Decatur, NE",2019-03-20 14:45:00,32.75
06609100,"Missouri River at Blair, NE",2019-03-20 14:00:00,29.87
06610000,"Missouri River at Omaha, NE",2019-03-20 14:00:00,32.97
06610705,"Big Papillion Creek near Blair, Nebr.",2019-03-20 14:15:00,11.68
06610710,"Big Papillion Creek near Kennard, Nebr.",2019-03-20 14:00:00,8.91
06610720,"Big Papillion Creek near Bennington, Nebr.",2019-03-20 14:50:00,6.15
06610732,"Big Papillion Creek at Fort Street at Omaha, Nebr.",2019-03-20 14:20:00,4.65
06610732,"Big Papillion Creek at Fort Street at Omaha, Nebr.",2019-03-20 14:20:00,4.57
