agency_cd,site_no,datetime,165986_00060_00001,165986_00060_00001_cd,165987_00060_00002,165987_00060_00002_cd,84936_00060_00003,84936_00060_00003_cd,84937_00065_00001,84937_00065_00001_cd,84938_00065_00002,84938_00065_00002_cd,84939_00065_00003,84939_00065_00003_cd
USGS,2085000,10/1/27,,,,,39,A,,,,,,
USGS,2085000,10/2/27,,,,,39,A,,,,,,
USGS,2085000,10/3/27,,,,,39,A,,,,,,
USGS,2085000,10/4/27,,,,,39,A,,,,,,
USGS,2085000,10/5/27,,,,,39,A,,,,,,
USGS,2085000,10/6/27,,,,,39,A,,,,,,
USGS,2085000,10/7/27,,,,,39,A,,,,,,
USGS,2085000,10/8/27,,,,,39,A,,,,,,
USGS,2085000,10/9/27,,,,,39,A,,,,,,
USGS,2085000,10/10/27,,,,,39,A,,,,,,
USGS,2085000,10/11/27,,,,,39,A,,,,,,
USGS,2085000,10/12/27,,,,,39,A,,,,,,
USGS,2085000,10/13/27,,,,,39,A,,,,,,
USGS,2085000,10/14/27,,,,,39,A,,,,,,
USGS,2085000,10/15/27,,,,,39,A,,,,,,
USGS,2085000,10/16/27,,,,,39,A,,,,,,
USGS,2085000,10/17/27,,,,,39,A,,,,,,
USGS,2085000,10/18/27,,,,,39,A,,,,,,
USGS,2085000,10/19/27,,,,,39,A,,,,,,
USGS,2085000,10/20/27,,,,,39,A,,,,,,
USGS,2085000,10/21/27,,,,,39,A,,,,,,
USGS,2085000,10/22/27,,,,,39,A,,,,,,
USGS,2085000,10/23/27,,,,,39,A,,,,,,
USGS,2085000,10/24/27,,,,,39,A,,,,,,
USGS,2085000,10/25/27,,,,,39,A,,,,,,
USGS,2085000,10/26/27,,,,,39,A,,,,,,
USGS,2085000,10/27/27,,,,,39,A,,,,,,
USGS,2085000,10/28/27,,,,,39,A,,,,,,
USGS,2085000,10/29/27,,,,,39,A,,,,,,
USGS,2085000,10/30/27,,,,,39,A,,,,,,
USGS,2085000,10/31/27,,,,,39,A,,,,,,
USGS,2085000,11/1/27,,,,,15,A,,,,,,
USGS,2085000,11/2/27,,,,,15,A,,,,,,
USGS,2085000,11/3/27,,,,,15,A,,,,,,
USGS,2085000,11/4/27,,,,,15,A,,,,,,
USGS,2085000,11/5/27,,,,,15,A,,,,,,
USGS,2085000,11/6/27,,,,,15,A,,,,,,
USGS,2085000,11/7/27,,,,,15,A,,,,,,
