STATION,NAME,DATE,AWND
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-01,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-02,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-03,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-04,5.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-05,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-06,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-07,3.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-08,3.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-09,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-10,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-11,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1984-12,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-01,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-02,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-03,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-04,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-05,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-06,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-07,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-08,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-09,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-10,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-11,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1985-12,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-01,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-02,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-03,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-04,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-05,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-06,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-07,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-08,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-09,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-10,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-11,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1986-12,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-01,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-02,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-03,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-04,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-05,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-06,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-07,3.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-08,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-09,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-10,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-11,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1987-12,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-01,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-02,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-03,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-04,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-05,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-06,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-07,3.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-08,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-09,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-10,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-11,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1988-12,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-01,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-02,5.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-03,5.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-04,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-05,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-06,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-07,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-08,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-09,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-10,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-11,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1989-12,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-01,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-02,4.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-03,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-04,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-05,5.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-06,3.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-07,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-08,2.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-09,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-10,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-11,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1990-12,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-01,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-02,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-03,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-04,4.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-05,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-06,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-07,2.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-08,2.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-09,3.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-10,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-11,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1991-12,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-01,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-02,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-03,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-04,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-05,3.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-06,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-07,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-08,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-09,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-10,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-11,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1992-12,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-01,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-02,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-03,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-04,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-05,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-06,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-07,3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-08,2.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-09,3.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-10,3.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-11,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1993-12,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-01,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-02,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-03,4.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-04,4.2
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-05,3.5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-06,3.7
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-07,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-08,2.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-09,3.3
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-10,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-11,4.4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1994-12,4.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-01,4.9
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-02,4.6
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-03,5.1
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-04,5
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-05,4.8
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-06,4
USW00012917,"PORT ARTHUR SE TX REGIONAL AIRPORT, TX US",1995-07,3.2
