Rainfall - (MM), Year, Statistics, Country, ISO3
240.391, 1901, Jan Average, Brazil, BRA
226.274, 1901, Feb Average, Brazil, BRA
244.896, 1901, Mar Average, Brazil, BRA
166.048, 1901, Apr Average, Brazil, BRA
116.498, 1901, May Average, Brazil, BRA
70.3015, 1901, Jun Average, Brazil, BRA
74.5512, 1901, Jul Average, Brazil, BRA
57.8929, 1901, Aug Average, Brazil, BRA
76.5972, 1901, Sep Average, Brazil, BRA
110.708, 1901, Oct Average, Brazil, BRA
145.182, 1901, Nov Average, Brazil, BRA
216.397, 1901, Dec Average, Brazil, BRA
206.126, 1902, Jan Average, Brazil, BRA
211.3, 1902, Feb Average, Brazil, BRA
249.547, 1902, Mar Average, Brazil, BRA
164.292, 1902, Apr Average, Brazil, BRA
115.409, 1902, May Average, Brazil, BRA
69.7362, 1902, Jun Average, Brazil, BRA
57.318, 1902, Jul Average, Brazil, BRA
75.8321, 1902, Aug Average, Brazil, BRA
75.9481, 1902, Sep Average, Brazil, BRA
128.814, 1902, Oct Average, Brazil, BRA
163.793, 1902, Nov Average, Brazil, BRA
215.537, 1902, Dec Average, Brazil, BRA
223.894, 1903, Jan Average, Brazil, BRA
213.082, 1903, Feb Average, Brazil, BRA
216.95, 1903, Mar Average, Brazil, BRA
159.057, 1903, Apr Average, Brazil, BRA
120.844, 1903, May Average, Brazil, BRA
70.7127, 1903, Jun Average, Brazil, BRA
55.2953, 1903, Jul Average, Brazil, BRA
53.3539, 1903, Aug Average, Brazil, BRA
73.8025, 1903, Sep Average, Brazil, BRA
129.274, 1903, Oct Average, Brazil, BRA
149.065, 1903, Nov Average, Brazil, BRA
206.74, 1903, Dec Average, Brazil, BRA
235.232, 1904, Jan Average, Brazil, BRA
208.846, 1904, Feb Average, Brazil, BRA
210.442, 1904, Mar Average, Brazil, BRA
162.449, 1904, Apr Average, Brazil, BRA
118.025, 1904, May Average, Brazil, BRA
71.697, 1904, Jun Average, Brazil, BRA
61.0455, 1904, Jul Average, Brazil, BRA
56.9177, 1904, Aug Average, Brazil, BRA
75.0692, 1904, Sep Average, Brazil, BRA
147.344, 1904, Oct Average, Brazil, BRA
135.887, 1904, Nov Average, Brazil, BRA
186.605, 1904, Dec Average, Brazil, BRA
221.942, 1905, Jan Average, Brazil, BRA
214.546, 1905, Feb Average, Brazil, BRA
245.192, 1905, Mar Average, Brazil, BRA
160.88, 1905, Apr Average, Brazil, BRA
134.635, 1905, May Average, Brazil, BRA
71.1695, 1905, Jun Average, Brazil, BRA
62.4171, 1905, Jul Average, Brazil, BRA
62.4121, 1905, Aug Average, Brazil, BRA
81.4831, 1905, Sep Average, Brazil, BRA
127.434, 1905, Oct Average, Brazil, BRA
147.1, 1905, Nov Average, Brazil, BRA
206.148, 1905, Dec Average, Brazil, BRA
226.076, 1906, Jan Average, Brazil, BRA
205.526, 1906, Feb Average, Brazil, BRA
219.364, 1906, Mar Average, Brazil, BRA
174.837, 1906, Apr Average, Brazil, BRA
121.512, 1906, May Average, Brazil, BRA
71.5074, 1906, Jun Average, Brazil, BRA
52.2007, 1906, Jul Average, Brazil, BRA
51.0689, 1906, Aug Average, Brazil, BRA
67.1818, 1906, Sep Average, Brazil, BRA
107.691, 1906, Oct Average, Brazil, BRA
130.182, 1906, Nov Average, Brazil, BRA
193.051, 1906, Dec Average, Brazil, BRA
200.984, 1907, Jan Average, Brazil, BRA
199.051, 1907, Feb Average, Brazil, BRA
214.251, 1907, Mar Average, Brazil, BRA
180.503, 1907, Apr Average, Brazil, BRA
120.52, 1907, May Average, Brazil, BRA
71.4952, 1907, Jun Average, Brazil, BRA
61.1454, 1907, Jul Average, Brazil, BRA
62.2428, 1907, Aug Average, Brazil, BRA
74.9981, 1907, Sep Average, Brazil, BRA
107.954, 1907, Oct Average, Brazil, BRA
158.3, 1907, Nov Average, Brazil, BRA
203.002, 1907, Dec Average, Brazil, BRA
228.916, 1908, Jan Average, Brazil, BRA
207.258, 1908, Feb Average, Brazil, BRA
207.706, 1908, Mar Average, Brazil, BRA
180.941, 1908, Apr Average, Brazil, BRA
127.514, 1908, May Average, Brazil, BRA
70.5804, 1908, Jun Average, Brazil, BRA
59.9791, 1908, Jul Average, Brazil, BRA
47.3733, 1908, Aug Average, Brazil, BRA
66.9849, 1908, Sep Average, Brazil, BRA
133.044, 1908, Oct Average, Brazil, BRA
171.793, 1908, Nov Average, Brazil, BRA
180.784, 1908, Dec Average, Brazil, BRA
222.714, 1909, Jan Average, Brazil, BRA
214.449, 1909, Feb Average, Brazil, BRA
230.466, 1909, Mar Average, Brazil, BRA
173.491, 1909, Apr Average, Brazil, BRA
123.976, 1909, May Average, Brazil, BRA
79.4028, 1909, Jun Average, Brazil, BRA
59.3003, 1909, Jul Average, Brazil, BRA
53.9349, 1909, Aug Average, Brazil, BRA
72.9145, 1909, Sep Average, Brazil, BRA
116.739, 1909, Oct Average, Brazil, BRA
139.099, 1909, Nov Average, Brazil, BRA
196.935, 1909, Dec Average, Brazil, BRA
209.399, 1910, Jan Average, Brazil, BRA
208.924, 1910, Feb Average, Brazil, BRA
234.015, 1910, Mar Average, Brazil, BRA
175.928, 1910, Apr Average, Brazil, BRA
117.047, 1910, May Average, Brazil, BRA
77.0691, 1910, Jun Average, Brazil, BRA
63.148, 1910, Jul Average, Brazil, BRA
47.2741, 1910, Aug Average, Brazil, BRA
70.5156, 1910, Sep Average, Brazil, BRA
131.284, 1910, Oct Average, Brazil, BRA
147.91, 1910, Nov Average, Brazil, BRA
194.09, 1910, Dec Average, Brazil, BRA
202.558, 1911, Jan Average, Brazil, BRA
189.978, 1911, Feb Average, Brazil, BRA
267.141, 1911, Mar Average, Brazil, BRA
148.06, 1911, Apr Average, Brazil, BRA
