Temperature - (Celsius), Year, Statistics, Country, ISO3
25.4683, 1901, Jan Average, Brazil, BRA
25.8043, 1901, Feb Average, Brazil, BRA
25.4693, 1901, Mar Average, Brazil, BRA
24.6973, 1901, Apr Average, Brazil, BRA
24.4676, 1901, May Average, Brazil, BRA
23.7347, 1901, Jun Average, Brazil, BRA
24.3439, 1901, Jul Average, Brazil, BRA
24.7378, 1901, Aug Average, Brazil, BRA
25.5075, 1901, Sep Average, Brazil, BRA
25.9618, 1901, Oct Average, Brazil, BRA
25.3973, 1901, Nov Average, Brazil, BRA
25.2347, 1901, Dec Average, Brazil, BRA
25.4001, 1902, Jan Average, Brazil, BRA
25.8936, 1902, Feb Average, Brazil, BRA
25.4911, 1902, Mar Average, Brazil, BRA
25.3788, 1902, Apr Average, Brazil, BRA
25.1326, 1902, May Average, Brazil, BRA
24.7454, 1902, Jun Average, Brazil, BRA
24.3797, 1902, Jul Average, Brazil, BRA
23.6272, 1902, Aug Average, Brazil, BRA
25.5495, 1902, Sep Average, Brazil, BRA
25.3896, 1902, Oct Average, Brazil, BRA
26.1347, 1902, Nov Average, Brazil, BRA
26.1153, 1902, Dec Average, Brazil, BRA
25.3852, 1903, Jan Average, Brazil, BRA
25.8848, 1903, Feb Average, Brazil, BRA
25.8242, 1903, Mar Average, Brazil, BRA
24.9878, 1903, Apr Average, Brazil, BRA
24.0358, 1903, May Average, Brazil, BRA
24.2085, 1903, Jun Average, Brazil, BRA
23.9851, 1903, Jul Average, Brazil, BRA
24.0806, 1903, Aug Average, Brazil, BRA
25.2095, 1903, Sep Average, Brazil, BRA
25.161, 1903, Oct Average, Brazil, BRA
25.1546, 1903, Nov Average, Brazil, BRA
25.6395, 1903, Dec Average, Brazil, BRA
24.887, 1904, Jan Average, Brazil, BRA
25.208, 1904, Feb Average, Brazil, BRA
25.086, 1904, Mar Average, Brazil, BRA
24.8793, 1904, Apr Average, Brazil, BRA
23.4627, 1904, May Average, Brazil, BRA
23.0324, 1904, Jun Average, Brazil, BRA
23.6819, 1904, Jul Average, Brazil, BRA
23.7694, 1904, Aug Average, Brazil, BRA
25.011, 1904, Sep Average, Brazil, BRA
25.0449, 1904, Oct Average, Brazil, BRA
25.3574, 1904, Nov Average, Brazil, BRA
25.1986, 1904, Dec Average, Brazil, BRA
25.1, 1905, Jan Average, Brazil, BRA
25.4632, 1905, Feb Average, Brazil, BRA
24.887, 1905, Mar Average, Brazil, BRA
24.5941, 1905, Apr Average, Brazil, BRA
24.7704, 1905, May Average, Brazil, BRA
24.0993, 1905, Jun Average, Brazil, BRA
23.6716, 1905, Jul Average, Brazil, BRA
24.3039, 1905, Aug Average, Brazil, BRA
25.1741, 1905, Sep Average, Brazil, BRA
26.4415, 1905, Oct Average, Brazil, BRA
25.6957, 1905, Nov Average, Brazil, BRA
25.6896, 1905, Dec Average, Brazil, BRA
25.1633, 1906, Jan Average, Brazil, BRA
25.3581, 1906, Feb Average, Brazil, BRA
25.2973, 1906, Mar Average, Brazil, BRA
24.8865, 1906, Apr Average, Brazil, BRA
24.7517, 1906, May Average, Brazil, BRA
22.9659, 1906, Jun Average, Brazil, BRA
23.7724, 1906, Jul Average, Brazil, BRA
24.6312, 1906, Aug Average, Brazil, BRA
24.8339, 1906, Sep Average, Brazil, BRA
25.6682, 1906, Oct Average, Brazil, BRA
25.7969, 1906, Nov Average, Brazil, BRA
25.6059, 1906, Dec Average, Brazil, BRA
25.1219, 1907, Jan Average, Brazil, BRA
25.3158, 1907, Feb Average, Brazil, BRA
25.6161, 1907, Mar Average, Brazil, BRA
24.897, 1907, Apr Average, Brazil, BRA
23.7292, 1907, May Average, Brazil, BRA
23.5626, 1907, Jun Average, Brazil, BRA
22.8457, 1907, Jul Average, Brazil, BRA
23.7251, 1907, Aug Average, Brazil, BRA
25.3533, 1907, Sep Average, Brazil, BRA
