"lakeid","lakename","year4","daynum","sampledate","depth_id","depth","tn_ug","tp_ug","nh34","no23","po4","comments"
"L","Paul Lake",1991,140,1991-05-20,1,0,538,25,NA,NA,NA,""
"L","Paul Lake",1991,140,1991-05-20,2,0.85,285,14,NA,NA,NA,""
"L","Paul Lake",1991,140,1991-05-20,3,1.75,399,14,NA,NA,NA,""
"L","Paul Lake",1991,140,1991-05-20,4,3,453,14,NA,NA,NA,""
"L","Paul Lake",1991,140,1991-05-20,5,4,363,13,NA,NA,NA,""
"L","Paul Lake",1991,140,1991-05-20,6,6,583,37,NA,NA,NA,""
"R","Peter Lake",1991,140,1991-05-20,1,0,352,11,NA,NA,NA,""
"R","Peter Lake",1991,140,1991-05-20,2,1,356,15,NA,NA,NA,""
"R","Peter Lake",1991,140,1991-05-20,3,2.25,364,28,NA,NA,NA,""
"R","Peter Lake",1991,140,1991-05-20,4,3.5,582,14,NA,NA,NA,""
"R","Peter Lake",1991,140,1991-05-20,5,4.65,335,17,NA,NA,NA,""
"R","Peter Lake",1991,140,1991-05-20,6,6.5,352,19,NA,NA,NA,""
"L","Paul Lake",1991,147,1991-05-27,1,0,483,8,18.981,10.299,8,""
"L","Paul Lake",1991,147,1991-05-27,2,0.65,351,8,13.777,9.198,7,""
"L","Paul Lake",1991,147,1991-05-27,3,1.5,337,9,NA,5.948,12,""
"L","Paul Lake",1991,147,1991-05-27,4,2.75,327,9,11.328,7.545,8,""
"L","Paul Lake",1991,147,1991-05-27,5,4,346,13,9.98,4.864,NA,""
"L","Paul Lake",1991,147,1991-05-27,6,6,687,32,13.807,9.952,NA,""
"L","Paul Lake",1991,147,1991-05-27,7,8,900,45,327.864,13.48,NA,""
"R","Peter Lake",1991,148,1991-05-28,1,0,342,23,18.096,6.276,NA,""
"R","Peter Lake",1991,148,1991-05-28,2,0.85,326,13,59.883,5.475,NA,""
"R","Peter Lake",1991,148,1991-05-28,3,1.75,573,17,23.475,9.473,NA,""
"R","Peter Lake",1991,148,1991-05-28,4,3.25,386,11,10.259,7.126,NA,""
"R","Peter Lake",1991,148,1991-05-28,5,4.25,400,12,14.728,7.125,NA,""
"R","Peter Lake",1991,148,1991-05-28,6,6.5,415,16,10.524,7.503,NA,""
"R","Peter Lake",1991,148,1991-05-28,7,12,660,25,176.581,9.924,NA,""
"L","Paul Lake",1991,154,1991-06-03,1,0,512,17,20.736,5.934,4,""
"L","Paul Lake",1991,154,1991-06-03,2,0.5,584,8,22.427,4.837,7,""
"L","Paul Lake",1991,154,1991-06-03,3,1.25,470,17,26.635,4.058,4,""
"L","Paul Lake",1991,154,1991-06-03,4,2.25,587,7,28.013,6.782,7,""
"L","Paul Lake",1991,154,1991-06-03,5,3.4,348,5,33.739,8.959,3,""
"L","Paul Lake",1991,154,1991-06-03,6,5.34,468,20,35.662,6.965,3,""
"L","Paul Lake",1991,154,1991-06-03,7,8,1107,32,375.547,11.143,14,""
"R","Peter Lake",1991,155,1991-06-04,1,0,573,5,21.533,3.818,4,""
"R","Peter Lake",1991,155,1991-06-04,2,0.9,436,6,26.292,2.938,7,""
"R","Peter Lake",1991,155,1991-06-04,3,1.75,394,7,NA,3.037,5,""
"R","Peter Lake",1991,155,1991-06-04,4,3.2,342,6,NA,2.225,6,""
"R","Peter Lake",1991,155,1991-06-04,5,4.25,324,5,NA,5.554,6,""
"R","Peter Lake",1991,155,1991-06-04,6,6.75,439,16,NA,2.355,7,""
"R","Peter Lake",1991,155,1991-06-04,7,12,590,19,NA,3.065,8,""
"L","Paul Lake",1991,161,1991-06-10,1,0,421,11,20.303,11.381,6,""
"L","Paul Lake",1991,161,1991-06-10,2,0.55,352,14,19.789,10.959,4,""
"L","Paul Lake",1991,161,1991-06-10,3,1.3,407,11,16.359,10.925,5,""
"L","Paul Lake",1991,161,1991-06-10,4,2.25,299,9,16.193,8.341,1,""
"L","Paul Lake",1991,161,1991-06-10,5,3.4,334,11,15.556,7.687,1,""
"L","Paul Lake",1991,161,1991-06-10,6,5.7,434,21,16.481,9.866,4,""
"L","Paul Lake",1991,161,1991-06-10,7,8,1271,45,623.114,10.82,12,""
"R","Peter Lake",1991,162,1991-06-11,1,0,296,9,14.579,6.827,4,""
"R","Peter Lake",1991,162,1991-06-11,2,1.25,291,9,25.548,6.995,9,""
"R","Peter Lake",1991,162,1991-06-11,3,2.6,308,8,17.633,6.347,5,""
"R","Peter Lake",1991,162,1991-06-11,4,4.1,324,12,23.58,7.371,8,""
"R","Peter Lake",1991,162,1991-06-11,5,5.4,374,16,15.643,6.561,8,""
"R","Peter Lake",1991,162,1991-06-11,6,7.8,376,19,20.372,7.1,11,""
"R","Peter Lake",1991,162,1991-06-11,7,12,676,31,289.687,4.444,18,""
"L","Paul Lake",1991,168,1991-06-17,1,0,474,8,6.441,2.375,5,""
